huc8,ensemble_mean_et,eemetric_mean_et,ssebop_mean_et,disalexi_mean_et,ptjpl_mean_et,geesebal_mean_et,mean_eto,mean_pr
15050306,242.3333323654672,,,,,,1956.4598744605173,159.41552366114826
15050305,216.21848117041216,,,,,,1856.5807037118063,201.6110659097617
15050303,319.5299408742651,,,,,,1945.7529199721107,149.53090282629196
15050100,387.0570778408628,,,,,,1831.7902083498864,235.489918091177
15050203,431.1970544261077,,,,,,1748.305518529142,293.87596955153
15050302,466.3780242555693,,,,,,1640.388973308297,303.8607004085912
15050201,352.07200257074885,,,,,,1754.183295665521,293.458698703299
15040005,458.5312663360591,,,,,,1712.0161132468231,307.9298078547812
15010014,164.2401513970876,,,,,,1660.4624924510586,152.94503228852494
15010002,440.9743281009813,,,,,,1519.6179910603205,245.76696479150527
15010007,253.043717186169,,,,,,1636.6370898572395,209.89851277097
15010004,350.68770348348824,,,,,,1460.1369748325053,265.1595822077248
15060201,432.5883587171384,,,,,,1516.5785985084765,325.79766817802835
15030201,357.6226964545447,,,,,,1671.149170891002,264.1086806164762
15030103,221.11134779931157,,,,,,1793.907907917183,174.0533722424713
15030106,147.29727490835162,,,,,,1848.3304692002532,99.13205360009526
15030105,164.36142646907246,,,,,,2057.8229287671884,113.24316053119844
15030204,239.53021343322357,,,,,,1977.1313980052016,178.09344340195238
15030202,427.0864213550663,,,,,,1700.3007519956936,312.82777407950243
15020011,281.2844219215538,297.6601443950732,204.1265753212259,338.1919387359952,296.8630566978484,419.4424402369032,1630.1548616980117,175.008378873434
15020009,319.45293052787235,308.872496623504,227.96069105627024,363.3136592522516,319.8247621281893,536.0421475012623,1587.8272029222865,193.26314414855997
15060102,789.9708998853753,826.3358184375808,872.7600639391142,738.4583216878003,706.2987361949521,848.7246507560203,1426.5849525408146,571.0171213070436
15060101,775.8878350298494,932.3450132017184,823.5841502187121,769.7133267753919,690.676202727537,703.5241596248393,1459.5400212658317,519.8694109259532
14020005,481.3586582393707,404.5128747783908,399.96516441489007,604.3230254444712,473.878243214711,539.6761340046872,1173.3547432318824,340.1858425512976
14080102,711.1381792669872,750.0965629439621,717.6844408701703,704.5140238947193,656.9462498388972,802.2584082281987,1178.0045927094343,581.9470734831217
14020002,547.4272826966023,568.7917340676745,515.2683863903864,561.6746681840161,511.8446061186311,567.8344458763978,1055.2819860672612,472.3674885274685
14010004,570.4972243284493,582.7922992834824,534.8865693412195,538.8992728599671,493.74504492220586,612.3878850816761,964.0860376744096,721.1224947770481
14010003,566.960754360913,571.3461213440999,515.9267127143969,548.528865008717,485.6836968271676,604.0596033323675,965.0161489608884,637.2364916919021
14020004,619.6001189340826,597.4533828658625,606.728925825382,654.2608972430578,563.1143451618219,663.2249182760085,1065.4049355988516,583.1305495182288
14050006,448.7278523071491,360.90254825355146,379.370307999672,581.0536022903698,473.6972679557472,470.2750580573464,1092.0720725710323,365.2844410329035
14050005,546.5308612362213,489.11949163488873,496.74417072706376,566.9217102417672,522.3543163010056,585.678946586461,1032.2483327833052,553.57784848967
10180001,471.5184391743208,523.4573684103589,393.764013652864,487.19596776248864,453.5373469696764,424.1408389236169,970.5471673749548,625.6848811368029
14050002,432.1991352289509,358.46603659357265,307.13857545906785,552.5435237247565,462.6258094272513,483.6120036234384,1027.4616788522335,428.1270563868309
10190005,557.2741192632461,566.8850704470905,558.7930821130989,630.007484439964,554.239150164423,492.736425050501,1121.1208749411835,539.8849210638466
14010002,505.7963614635718,546.5517692006852,456.2698334469783,433.3208209845436,417.062356785236,463.7674990430127,926.4119953816794,672.9017305414029
10190004,511.7721341032145,486.46768017426353,507.150872056756,608.7985852215023,484.735804285798,466.285367953124,984.2506353091676,583.4602873451089
14020001,538.7312692345486,570.1189848561734,488.7595650042634,451.288327937762,459.5496627140861,589.731226996835,924.9141664842532,688.7445712430753
14080103,333.02696806859484,339.1580849996504,223.10882396535243,433.3949170771545,381.87434838803415,385.59298148493616,1340.4091434354048,293.2209149174251
13020208,317.44229333815304,368.7840218907764,287.6536725553696,366.9080689609432,378.1246586238366,293.2267538128279,1489.3741127754606,341.7669965652548
13020209,251.90396872184476,278.62256013534653,220.4062463618686,302.9617457063697,337.38475634282804,278.5641237203232,1621.9050762350569,344.791681440216
13020206,405.85827367820417,457.5030737288299,313.1017684314633,444.4536930942968,431.11268608535016,497.9062951390191,1436.0780326833444,333.44568934958573
13020207,333.78052875228894,357.07978037089634,305.7242138520211,409.1805427084241,374.7832171219154,355.7172729354369,1528.810054111402,362.8080057712224
