huc8,ensemble_mean_et,eemetric_mean_et,ssebop_mean_et,disalexi_mean_et,ptjpl_mean_et,geesebal_mean_et
13020208,367.9227147984599,362.4596331029027,321.9927194218929,421.3733924397408,487.7862916599875,322.27935988732656
13020209,284.87449195325723,264.3810259145983,238.5221338321533,350.92413314732164,399.1319879301273,256.71036852583705
13020206,446.8945213125676,414.0959901185905,342.73915002199425,502.7409042172577,560.3127063457495,437.563708342462
13020207,369.2570662892323,331.6802577294587,319.0759977434297,443.8187187165498,475.1436338574833,333.52045824033206
13020204,291.349810158347,236.12975846720173,207.27211774859947,373.1100328173265,382.0022211545872,323.11717749419137
13020205,270.33567188625767,260.2928025857478,194.64459234577927,362.651302428764,386.2906870438404,244.0192761951353
14070005,392.2154819114552,244.10788791233887,311.92813108923235,469.16206437854703,422.8501317495756,531.2786997939761
16030002,475.1010931552348,401.5394684116296,401.35833194928017,517.1266556618691,500.1102020024203,522.7563468697222
14070001,356.2555741108645,183.6334141995316,281.99495103352035,443.5638746712189,417.36835497730215,484.5355024700567
14070003,368.1992071726347,338.19024044324755,276.8573790217818,416.0207069455977,383.5465354428416,460.2545330233067
14070004,256.6322926922469,113.59511254329428,160.12959176247284,305.41189422325107,365.7338047829548,416.8109615025869
14060008,279.5745021501753,130.33390836634234,170.94077965013895,367.2714809685036,374.1359927044757,423.01920813590425
14060006,476.38304234805616,386.6316101360196,389.3552047456925,522.862560497675,516.5626469086768,566.0130851699531
14060005,424.8373784019004,317.6552569145941,371.64032057123495,475.5363345064285,484.045293593581,501.8404297361944
14070002,271.4013116186647,221.2439085676677,193.93141112201155,331.4759945182912,315.51141853822025,346.6680611221936
16030003,502.302029250678,419.19845764245184,451.6516517378279,549.2855409113033,525.4968195633221,533.7367932958471
16020202,635.9497621146186,436.3094454546474,629.6501889327845,620.1058593853537,673.7055516129194,693.9737617735233
16020203,644.1791148480087,504.96602691223376,608.5674808920564,615.8493197894021,633.4957601077482,714.2162260369289
14060004,503.0375260714555,443.25106517037113,489.0905545209078,483.1366260918891,511.0070645676121,510.099669884696
14060003,499.00121164637966,476.3304544993427,430.3251376641193,493.1898081955941,507.73363092629177,517.1657803660596
14050004,340.9984486559154,316.042863294982,203.7113744088333,384.2512241110974,422.00254300425496,383.7334416234333
15080303,484.926880645995,567.909651677174,447.1409756057854,494.92725317609575,519.0070994201373,397.6826837931547
16020301,275.4592285088185,212.9520247392506,208.09668835478664,328.03224998817257,345.89229783045795,303.5554061475142
15010013,367.7557779814282,328.82520121871187,315.0552876414138,437.4537214628053,392.6000577077774,420.76500137479127
16030006,414.41141176092543,323.15554296460743,357.63402684918583,456.1176329341765,474.6200049841492,475.8876232333113
14030003,603.9657273290755,543.5261836923021,573.0992507350666,621.3125900298942,580.5496876001025,638.7955670804928
14020006,565.6526897912482,511.0655257669196,514.1560443412662,567.6669470728958,580.5762897814749,609.2675803986258
14010001,558.6933623475572,539.2725353950892,505.6879969170822,521.9144180890639,547.348623623268,512.1234380357378
14050001,603.2694740880187,532.8231967952777,547.9302487173998,580.6116763848047,584.8987807583329,647.4995645900038
